7.93	0	0
7.94	0	0
7.95	0	0
7.96	0	0
7.97	0	0
7.98	0	0
7.99	0	0
8	0	0
8.01	0	0
8.02	0	0
7.93	0.001	0
7.93	0.01	0
7.93	0.1	0
7.94	0.001	0
7.94	0.01	0
7.94	0.1	0
7.95	0.001	0
7.95	0.01	0
7.95	0.1	0
7.96	0.001	0
7.96	0.01	0
7.96	0.1	0
7.97	0.001	0
7.97	0.01	0
7.97	0.1	0
7.98	0.001	0
7.98	0.01	0
7.98	0.1	0
7.99	0.001	0
7.99	0.01	0
7.99	0.1	0
8	0.001	0
8	0.01	0
8	0.1	0
8.01	0.001	0
8.01	0.01	0
8.01	0.1	0
8.02	0.001	0
8.02	0.01	0
8.02	0.1	0
7.93	0.001	0.001
7.93	0.01	0.01
7.93	0.1	0.1
7.94	0.001	0.001
7.94	0.01	0.01
7.94	0.1	0.1
7.95	0.001	0.001
7.95	0.01	0.01
7.95	0.1	0.1
7.96	0.001	0.001
7.96	0.01	0.01
7.96	0.1	0.1
7.97	0.001	0.001
7.97	0.01	0.01
7.97	0.1	0.1
7.98	0.001	0.001
7.98	0.01	0.01
7.98	0.1	0.1
7.99	0.001	0.001
7.99	0.01	0.01
7.99	0.1	0.1
8	0.001	0.001
8	0.01	0.01
8	0.1	0.1
8.01	0.001	0.001
8.01	0.01	0.01
8.01	0.1	0.1
8.02	0.001	0.001
8.02	0.01	0.01
8.02	0.1	0.1
7.93	0	0.001
7.93	0	0.01
7.93	0	0.1
7.94	0	0.001
7.94	0	0.01
7.94	0	0.1
7.95	0	0.001
7.95	0	0.01
7.95	0	0.1
7.96	0	0.001
7.96	0	0.01
7.96	0	0.1
7.97	0	0.001
7.97	0	0.01
7.97	0	0.1
7.98	0	0.001
7.98	0	0.01
7.98	0	0.1
7.99	0	0.001
7.99	0	0.01
7.99	0	0.1
8	0	0.001
8	0	0.01
8	0	0.1
8.01	0	0.001
8.01	0	0.01
8.01	0	0.1
8.02	0	0.001
8.02	0	0.01
8.02	0	0.1
