7.94	0.05	2	0.001	2500
7.945	0.05	2	0.001	2500
7.95	0.05	2	0.001	2500
7.955	0.05	2	0.001	2500
7.96	0.05	2	0.001	2500
7.965	0.05	2	0.001	2500
7.97	0.05	2	0.001	2500
7.975	0.05	2	0.001	2500
7.98	0.05	2	0.001	2500
7.985	0.05	2	0.001	2500
7.99	0.05	2	0.001	2500
7.995	0.05	2	0.001	2500
8	0.05	2	0.001	2500
8.005	0.05	2	0.001	2500
8.01	0.05	2	0.001	2500
8.015	0.05	2	0.001	2500
8.02	0.05	2	0.001	2500
7.94	0.06	2	0.001	2500
7.945	0.06	2	0.001	2500
7.95	0.06	2	0.001	2500
7.955	0.06	2	0.001	2500
7.96	0.06	2	0.001	2500
7.965	0.06	2	0.001	2500
7.97	0.06	2	0.001	2500
7.975	0.06	2	0.001	2500
7.98	0.06	2	0.001	2500
7.985	0.06	2	0.001	2500
7.99	0.06	2	0.001	2500
7.995	0.06	2	0.001	2500
8	0.06	2	0.001	2500
8.005	0.06	2	0.001	2500
8.01	0.06	2	0.001	2500
8.015	0.06	2	0.001	2500
8.02	0.06	2	0.001	2500
7.94	0.07	2	0.001	2500
7.945	0.07	2	0.001	2500
7.95	0.07	2	0.001	2500
7.955	0.07	2	0.001	2500
7.96	0.07	2	0.001	2500
7.965	0.07	2	0.001	2500
7.97	0.07	2	0.001	2500
7.975	0.07	2	0.001	2500
7.98	0.07	2	0.001	2500
7.985	0.07	2	0.001	2500
7.99	0.07	2	0.001	2500
7.995	0.07	2	0.001	2500
8	0.07	2	0.001	2500
8.005	0.07	2	0.001	2500
8.01	0.07	2	0.001	2500
8.015	0.07	2	0.001	2500
8.02	0.07	2	0.001	2500
7.94	0.08	2	0.001	2500
7.945	0.08	2	0.001	2500
7.95	0.08	2	0.001	2500
7.955	0.08	2	0.001	2500
7.96	0.08	2	0.001	2500
7.965	0.08	2	0.001	2500
7.97	0.08	2	0.001	2500
7.975	0.08	2	0.001	2500
7.98	0.08	2	0.001	2500
7.985	0.08	2	0.001	2500
7.99	0.08	2	0.001	2500
7.995	0.08	2	0.001	2500
8	0.08	2	0.001	2500
8.005	0.08	2	0.001	2500
8.01	0.08	2	0.001	2500
8.015	0.08	2	0.001	2500
8.02	0.08	2	0.001	2500
7.94	0.09	2	0.001	2500
7.945	0.09	2	0.001	2500
7.95	0.09	2	0.001	2500
7.955	0.09	2	0.001	2500
7.96	0.09	2	0.001	2500
7.965	0.09	2	0.001	2500
7.97	0.09	2	0.001	2500
7.975	0.09	2	0.001	2500
7.98	0.09	2	0.001	2500
7.985	0.09	2	0.001	2500
7.99	0.09	2	0.001	2500
7.995	0.09	2	0.001	2500
8	0.09	2	0.001	2500
8.005	0.09	2	0.001	2500
8.01	0.09	2	0.001	2500
8.015	0.09	2	0.001	2500
8.02	0.09	2	0.001	2500
7.94	0.1	2	0.001	2500
7.945	0.1	2	0.001	2500
7.95	0.1	2	0.001	2500
7.955	0.1	2	0.001	2500
7.96	0.1	2	0.001	2500
7.965	0.1	2	0.001	2500
7.97	0.1	2	0.001	2500
7.975	0.1	2	0.001	2500
7.98	0.1	2	0.001	2500
7.985	0.1	2	0.001	2500
7.99	0.1	2	0.001	2500
7.995	0.1	2	0.001	2500
8	0.1	2	0.001	2500
8.005	0.1	2	0.001	2500
8.01	0.1	2	0.001	2500
8.015	0.1	2	0.001	2500
8.02	0.1	2	0.001	2500
7.94	0.11	2	0.001	2500
7.945	0.11	2	0.001	2500
7.95	0.11	2	0.001	2500
7.955	0.11	2	0.001	2500
7.96	0.11	2	0.001	2500
7.965	0.11	2	0.001	2500
7.97	0.11	2	0.001	2500
7.975	0.11	2	0.001	2500
